,datetime,ip,name,latency,status
47,1582126784.648192,10.6.0.1,valve1sensor,10.82611083984375,1
48,1582126784.649001,10.6.0.2,pump2sensor,11.107921600341797,1
49,1582126784.652539,10.6.0.1,reservoirsensor,11.174917221069336,1
50,1582126785.074506,10.6.0.1,pump1sensor,220.7319736480713,1
51,1582126785.104886,10.7.0.3,valve3sensor,9.908914566040039,1
52,1582126785.107149,10.7.0.3,pump3sensor,9.663105010986328,1
53,1582126785.111145,10.7.0.3,municipaltanksensor,13.376951217651367,1
54,1582126785.11378,10.7.0.4,chlorinevalvesensor,10.799884796142578,1
55,1582126785.335757,10.7.0.4,chlorinetanksensor,233.4120273590088,1
56,1582126785.338249,10.7.0.4,chlorinatorsensor,232.15508460998535,1
57,1582126785.341743,10.7.0.4,chlorinepumpsensor,8.79979133605957,1
58,1582126785.659436,10.6.0.2,pump2sensor,10.190010070800781,1
59,1582126785.660112,10.6.0.2,valve2sensor,11.363029479980469,1
60,1582126785.660572,10.6.0.1,valve1sensor,10.987043380737305,1
61,1582126785.661999,10.6.0.1,reservoirsensor,8.693933486938477,1
62,1582126786.086028,10.6.0.1,pump1sensor,9.871959686279297,1
63,1582126786.115764,10.7.0.3,valve3sensor,9.613037109375,1
64,1582126786.117345,10.7.0.3,pump3sensor,8.635997772216797,1
65,1582126786.121971,10.7.0.3,municipaltanksensor,9.602069854736328,1
66,1582126786.123384,10.7.0.4,chlorinevalvesensor,8.414983749389648,1
67,1582126786.34495,10.7.0.4,chlorinetanksensor,7.544994354248047,1
68,1582126786.348329,10.7.0.4,chlorinatorsensor,8.539915084838867,1
69,1582126786.352635,10.7.0.4,chlorinepumpsensor,9.67097282409668,1
70,1582126786.671467,10.6.0.2,pump2sensor,10.378837585449219,1
71,1582126786.67293,10.6.0.1,reservoirsensor,9.715795516967773,1
72,1582126786.673415,10.6.0.1,valve1sensor,11.388063430786133,1
73,1582126786.673622,10.6.0.2,valve2sensor,11.816978454589844,1
74,1582126787.092731,10.6.0.1,pump1sensor,5.497932434082031,1
75,1582126787.123423,10.7.0.3,valve3sensor,6.973981857299805,1
76,1582126787.124443,10.7.0.3,pump3sensor,5.918025970458984,1
77,1582126787.1304,10.7.0.3,municipaltanksensor,7.272005081176758,1
78,1582126787.131397,10.7.0.4,chlorinevalvesensor,6.820917129516602,1
79,1582126787.352637,10.7.0.4,chlorinetanksensor,6.104946136474609,1
80,1582126787.35712,10.7.0.4,chlorinatorsensor,7.241964340209961,1
81,1582126787.360418,10.7.0.4,chlorinepumpsensor,6.521940231323242,1
82,1582126787.685378,10.6.0.1,valve1sensor,8.687973022460938,1
83,1582126787.686298,10.6.0.2,valve2sensor,9.858131408691406,1
84,1582126787.894852,10.6.0.2,pump2sensor,221.4639186859131,1
85,1582126787.902712,10.6.0.1,reservoirsensor,226.60112380981445,1
86,1582126788.133125,10.7.0.3,pump3sensor,7.431983947753906,1
87,1582126788.133654,10.7.0.3,valve3sensor,8.641958236694336,1
88,1582126788.14103,10.7.0.3,municipaltanksensor,9.218931198120117,1
89,1582126788.141513,10.7.0.4,chlorinevalvesensor,8.88204574584961,1
90,1582126788.314943,10.6.0.1,pump1sensor,220.98183631896973,1
91,1582126788.362309,10.7.0.4,chlorinetanksensor,8.067846298217773,1
92,1582126788.367497,10.7.0.4,chlorinatorsensor,9.971141815185547,1
93,1582126788.369289,10.7.0.4,chlorinepumpsensor,7.647991180419922,1
94,1582126788.696264,10.6.0.1,valve1sensor,9.241819381713867,1
95,1582126788.697735,10.6.0.2,valve2sensor,9.692907333374023,1
96,1582126788.911784,10.6.0.1,reservoirsensor,8.554935455322266,1
97,1582126789.118737,10.6.0.2,pump2sensor,222.23997116088867,1
98,1582126789.143248,10.7.0.3,valve3sensor,8.270025253295898,1
99,1582126789.143581,10.7.0.3,pump3sensor,8.852958679199219,1
100,1582126789.15277,10.7.0.4,chlorinevalvesensor,10.01286506652832,1
101,1582126789.153532,10.7.0.3,municipaltanksensor,12.161016464233398,1
102,1582126789.325717,10.6.0.1,pump1sensor,9.124040603637695,1
103,1582126789.373216,10.7.0.4,chlorinetanksensor,9.293079376220703,1
104,1582126789.378097,10.7.0.4,chlorinatorsensor,9.367942810058594,1
105,1582126789.378843,10.7.0.4,chlorinepumpsensor,7.955074310302734,1
106,1582126789.70887,10.6.0.2,valve2sensor,9.54294204711914,1
107,1582126789.918669,10.6.0.1,valve1sensor,220.43800354003906,1
108,1582126789.921662,10.6.0.1,reservoirsensor,8.248090744018555,1
109,1582126790.129759,10.6.0.2,pump2sensor,9.774923324584961,1
110,1582126790.153269,10.7.0.3,valve3sensor,8.374929428100586,1
111,1582126790.153622,10.7.0.3,pump3sensor,8.428096771240234,1
112,1582126790.162349,10.7.0.4,chlorinevalvesensor,8.539915084838867,1
113,1582126790.163348,10.7.0.3,municipaltanksensor,8.577108383178711,1
114,1582126790.3348,10.6.0.1,pump1sensor,7.441997528076172,1
115,1582126790.382309,10.7.0.4,chlorinetanksensor,7.505178451538086,1
116,1582126790.390409,10.7.0.4,chlorinatorsensor,11.08098030090332,1
117,1582126790.391314,10.7.0.4,chlorinepumpsensor,11.150121688842773,1
118,1582126790.720037,10.6.0.2,valve2sensor,9.510993957519531,1
119,1582126790.929895,10.6.0.1,valve1sensor,9.549140930175781,1
120,1582126790.930325,10.6.0.1,reservoirsensor,7.030010223388672,1
121,1582126791.139985,10.6.0.2,pump2sensor,8.98289680480957,1
122,1582126791.16302,10.7.0.3,valve3sensor,8.314847946166992,1
123,1582126791.163252,10.7.0.3,pump3sensor,8.341073989868164,1
124,1582126791.172813,10.7.0.4,chlorinevalvesensor,9.248018264770508,1
125,1582126791.174267,10.7.0.3,municipaltanksensor,9.356021881103516,1
126,1582126791.346072,10.6.0.1,pump1sensor,9.637117385864258,1
127,1582126791.393045,10.7.0.4,chlorinetanksensor,9.11402702331543,1
128,1582126791.405443,10.7.0.4,chlorinepumpsensor,12.163162231445312,1
129,1582126791.405733,10.7.0.4,chlorinatorsensor,14.111042022705078,1
130,1582126791.943334,10.6.0.1,reservoirsensor,11.379003524780273,1
131,1582126791.943643,10.6.0.1,valve1sensor,12.115955352783203,1
132,1582126791.946291,10.6.0.2,valve2sensor,224.2910861968994,1
133,1582126792.150931,10.6.0.2,pump2sensor,9.341001510620117,1
134,1582126792.1742,10.7.0.3,valve3sensor,9.564876556396484,1
135,1582126792.174593,10.7.0.3,pump3sensor,9.654045104980469,1
136,1582126792.184194,10.7.0.4,chlorinevalvesensor,10.816097259521484,1
137,1582126792.185762,10.7.0.3,municipaltanksensor,10.281085968017578,1
138,1582126792.354712,10.6.0.1,pump1sensor,7.316827774047852,1
139,1582126792.408005,10.7.0.4,chlorinetanksensor,13.454914093017578,1
140,1582126792.417622,10.7.0.4,chlorinatorsensor,10.591983795166016,1
141,1582126792.417793,10.7.0.4,chlorinepumpsensor,11.105060577392578,1
142,1582126792.95339,10.6.0.1,reservoirsensor,8.378982543945312,1
143,1582126792.955647,10.6.0.1,valve1sensor,10.28585433959961,1
144,1582126792.957363,10.6.0.2,valve2sensor,9.809017181396484,1
145,1582126793.16222,10.6.0.2,pump2sensor,9.645938873291016,1
146,1582126793.187294,10.7.0.3,valve3sensor,11.137962341308594,1
147,1582126793.188037,10.7.0.3,pump3sensor,12.17794418334961,1
148,1582126793.197588,10.7.0.4,chlorinevalvesensor,10.001897811889648,1
149,1582126793.198031,10.7.0.3,municipaltanksensor,11.0321044921875,1
150,1582126793.364612,10.6.0.1,pump1sensor,8.75091552734375,1
151,1582126793.418959,10.7.0.4,chlorinetanksensor,9.720087051391602,1
152,1582126793.429279,10.7.0.4,chlorinepumpsensor,10.123014450073242,1
153,1582126793.429714,10.7.0.4,chlorinatorsensor,11.578083038330078,1
154,1582126793.962798,10.6.0.1,reservoirsensor,7.7610015869140625,1
155,1582126793.968624,10.6.0.2,valve2sensor,8.970975875854492,1
156,1582126793.970228,10.6.0.1,valve1sensor,11.241912841796875,1
157,1582126794.174452,10.6.0.2,pump2sensor,10.597944259643555,1
158,1582126794.196678,10.7.0.3,valve3sensor,7.764101028442383,1
159,1582126794.197134,10.7.0.3,pump3sensor,7.487058639526367,1
160,1582126794.208754,10.7.0.4,chlorinevalvesensor,10.009050369262695,1
161,1582126794.209829,10.7.0.3,municipaltanksensor,10.629892349243164,1
162,1582126794.438146,10.7.0.4,chlorinatorsensor,7.25102424621582,1
163,1582126794.438543,10.7.0.4,chlorinepumpsensor,8.75997543334961,1
164,1582126794.582814,10.6.0.1,pump1sensor,216.4938449859619,1
165,1582126794.638613,10.7.0.4,chlorinetanksensor,218.02806854248047,1
166,1582126794.971217,10.6.0.1,reservoirsensor,7.755041122436523,1
167,1582126794.980653,10.6.0.2,valve2sensor,10.27989387512207,1
168,1582126795.184864,10.6.0.2,pump2sensor,8.756875991821289,1
169,1582126795.190606,10.6.0.1,valve1sensor,219.17009353637695,1
170,1582126795.209461,10.7.0.3,pump3sensor,11.647939682006836,1
171,1582126795.20979,10.7.0.3,valve3sensor,11.70492172241211,1
172,1582126795.222479,10.7.0.4,chlorinevalvesensor,12.552976608276367,1
173,1582126795.223911,10.7.0.3,municipaltanksensor,12.346982955932617,1
174,1582126795.449924,10.7.0.4,chlorinatorsensor,10.537862777709961,1
175,1582126795.450349,10.7.0.4,chlorinepumpsensor,10.478973388671875,1
176,1582126795.593148,10.6.0.1,pump1sensor,8.723974227905273,1
177,1582126795.648087,10.7.0.4,chlorinetanksensor,7.86900520324707,1
178,1582126795.982665,10.6.0.1,reservoirsensor,9.795904159545898,1
179,1582126795.99098,10.6.0.2,valve2sensor,8.719205856323242,1
180,1582126796.198897,10.6.0.2,pump2sensor,12.397050857543945,1
181,1582126796.204186,10.6.0.1,valve1sensor,11.998176574707031,1
182,1582126796.218718,10.7.0.3,valve3sensor,7.725954055786133,1
183,1582126796.22023,10.7.0.3,pump3sensor,9.536981582641602,1
184,1582126796.231704,10.7.0.4,chlorinevalvesensor,8.473873138427734,1
185,1582126796.23359,10.7.0.3,municipaltanksensor,8.101940155029297,1
186,1582126796.461259,10.7.0.4,chlorinepumpsensor,9.605884552001953,1
187,1582126796.461512,10.7.0.4,chlorinatorsensor,10.35308837890625,1
188,1582126796.603169,10.6.0.1,pump1sensor,8.396148681640625,1
189,1582126796.657022,10.7.0.4,chlorinetanksensor,7.683992385864258,1
190,1582126796.995562,10.6.0.1,reservoirsensor,11.249065399169922,1
191,1582126797.003421,10.6.0.2,valve2sensor,10.542869567871094,1
192,1582126797.212432,10.6.0.2,pump2sensor,12.085914611816406,1
193,1582126797.228343,10.7.0.3,pump3sensor,6.562948226928711,1
194,1582126797.240608,10.7.0.4,chlorinevalvesensor,7.709980010986328,1
195,1582126797.242376,10.7.0.3,municipaltanksensor,7.376909255981445,1
196,1582126797.418719,10.6.0.1,valve1sensor,213.2580280303955,1
197,1582126797.442343,10.7.0.3,valve3sensor,222.38683700561523,1
198,1582126797.469872,10.7.0.4,chlorinatorsensor,7.098913192749023,1
199,1582126797.612317,10.6.0.1,pump1sensor,7.92694091796875,1
200,1582126797.666264,10.7.0.4,chlorinetanksensor,7.981061935424805,1
201,1582126797.674746,10.7.0.4,chlorinepumpsensor,212.97383308410645,1
202,1582126798.007862,10.6.0.1,reservoirsensor,10.595083236694336,1
203,1582126798.014081,10.6.0.2,valve2sensor,9.130001068115234,1
204,1582126798.223952,10.6.0.2,pump2sensor,10.186910629272461,1
205,1582126798.237739,10.7.0.3,pump3sensor,8.383035659790039,1
206,1582126798.246424,10.7.0.4,chlorinevalvesensor,5.117893218994141,1
207,1582126798.250942,10.7.0.3,municipaltanksensor,7.250785827636719,1
208,1582126798.428059,10.6.0.1,valve1sensor,8.154869079589844,1
209,1582126798.45247,10.7.0.3,valve3sensor,8.558034896850586,1
210,1582126798.478259,10.7.0.4,chlorinatorsensor,7.196903228759766,1
211,1582126798.622695,10.6.0.1,pump1sensor,9.147167205810547,1
212,1582126798.676777,10.7.0.4,chlorinetanksensor,8.891105651855469,1
213,1582126798.683278,10.7.0.4,chlorinepumpsensor,6.941080093383789,1
214,1582126799.017552,10.6.0.1,reservoirsensor,9.073972702026367,1
215,1582126799.02376,10.6.0.2,valve2sensor,7.697105407714844,1
216,1582126799.233718,10.6.0.2,pump2sensor,8.098125457763672,1
217,1582126799.247471,10.7.0.3,pump3sensor,8.558034896850586,1
218,1582126799.257212,10.7.0.4,chlorinevalvesensor,9.443044662475586,1
219,1582126799.261238,10.7.0.3,municipaltanksensor,8.845090866088867,1
220,1582126799.437891,10.6.0.1,valve1sensor,8.174896240234375,1
221,1582126799.461078,10.7.0.3,valve3sensor,7.295131683349609,1
222,1582126799.489214,10.7.0.4,chlorinatorsensor,9.728193283081055,1
223,1582126799.632745,10.6.0.1,pump1sensor,8.424043655395508,1
224,1582126799.692419,10.7.0.4,chlorinepumpsensor,7.543802261352539,1
225,1582126799.890713,10.7.0.4,chlorinetanksensor,212.9647731781006,1
226,1582126800.028196,10.6.0.1,reservoirsensor,9.446859359741211,1
227,1582126800.035801,10.6.0.2,valve2sensor,10.358095169067383,1
228,1582126800.245027,10.6.0.2,pump2sensor,9.715080261230469,1
229,1582126800.2582,10.7.0.3,pump3sensor,9.45281982421875,1
230,1582126800.266277,10.7.0.4,chlorinevalvesensor,7.857084274291992,1
231,1582126800.269688,10.7.0.3,municipaltanksensor,6.798982620239258,1
232,1582126800.447414,10.6.0.1,valve1sensor,8.280038833618164,1
233,1582126800.469297,10.7.0.3,valve3sensor,7.546186447143555,1
234,1582126800.499012,10.7.0.4,chlorinatorsensor,9.289979934692383,1
235,1582126800.642156,10.6.0.1,pump1sensor,8.41212272644043,1
236,1582126800.70421,10.7.0.4,chlorinepumpsensor,10.151863098144531,1
237,1582126800.901518,10.7.0.4,chlorinetanksensor,9.180068969726562,1
238,1582126801.038764,10.6.0.1,reservoirsensor,9.016990661621094,1
239,1582126801.047462,10.6.0.2,valve2sensor,10.470867156982422,1
240,1582126801.256452,10.6.0.2,pump2sensor,10.016918182373047,1
241,1582126801.265824,10.7.0.3,pump3sensor,6.325006484985352,1
242,1582126801.274495,10.7.0.4,chlorinevalvesensor,7.000923156738281,1
243,1582126801.277756,10.7.0.3,municipaltanksensor,6.874799728393555,1
244,1582126801.457577,10.6.0.1,valve1sensor,8.509159088134766,1
245,1582126801.479232,10.7.0.3,valve3sensor,8.537054061889648,1
246,1582126801.508384,10.7.0.4,chlorinatorsensor,7.777929306030273,1
247,1582126801.652676,10.6.0.1,pump1sensor,9.25302505493164,1
248,1582126801.713873,10.7.0.4,chlorinepumpsensor,8.187055587768555,1
249,1582126801.911332,10.7.0.4,chlorinetanksensor,8.156061172485352,1
250,1582126802.048796,10.6.0.1,reservoirsensor,8.773088455200195,1
251,1582126802.056024,10.6.0.2,valve2sensor,7.653951644897461,1
252,1582126802.26849,10.6.0.2,pump2sensor,10.061025619506836,1
253,1582126802.27607,10.7.0.3,pump3sensor,8.964061737060547,1
254,1582126802.285615,10.7.0.4,chlorinevalvesensor,9.747028350830078,1
255,1582126802.286933,10.7.0.3,municipaltanksensor,8.030176162719727,1
256,1582126802.466345,10.6.0.1,valve1sensor,7.5168609619140625,1
257,1582126802.490146,10.7.0.3,valve3sensor,9.335041046142578,1
258,1582126802.517038,10.7.0.4,chlorinatorsensor,7.3070526123046875,1
259,1582126802.662389,10.6.0.1,pump1sensor,8.104801177978516,1
260,1582126802.722376,10.7.0.4,chlorinepumpsensor,7.261991500854492,1
261,1582126802.921578,10.7.0.4,chlorinetanksensor,8.621931076049805,1
262,1582126803.063994,10.6.0.2,valve2sensor,6.737947463989258,1
263,1582126803.267026,10.6.0.1,reservoirsensor,217.67306327819824,1
264,1582126803.2771,10.6.0.2,pump2sensor,7.340908050537109,1
265,1582126803.287339,10.7.0.3,pump3sensor,9.997844696044922,1
266,1582126803.301704,10.7.0.4,chlorinevalvesensor,14.819860458374023,1
267,1582126803.30329,10.7.0.3,municipaltanksensor,15.118122100830078,1
268,1582126803.477882,10.6.0.1,valve1sensor,9.884119033813477,1
269,1582126803.500187,10.7.0.3,valve3sensor,8.421182632446289,1
270,1582126803.525871,10.7.0.4,chlorinatorsensor,7.567882537841797,1
271,1582126803.672817,10.6.0.1,pump1sensor,8.769989013671875,1
272,1582126803.734872,10.7.0.4,chlorinepumpsensor,10.856866836547852,1
273,1582126803.931861,10.7.0.4,chlorinetanksensor,8.60595703125,1
274,1582126804.07285,10.6.0.2,valve2sensor,8.507013320922852,1
275,1582126804.279022,10.6.0.1,reservoirsensor,10.339975357055664,1
276,1582126804.286816,10.6.0.2,pump2sensor,8.124113082885742,1
277,1582126804.29582,10.7.0.3,pump3sensor,7.279872894287109,1
278,1582126804.312441,10.7.0.4,chlorinevalvesensor,9.16600227355957,1
279,1582126804.315112,10.7.0.3,municipaltanksensor,10.277986526489258,1
280,1582126804.48881,10.6.0.1,valve1sensor,9.322881698608398,1
281,1582126804.508248,10.7.0.3,valve3sensor,6.489992141723633,1
282,1582126804.534598,10.7.0.4,chlorinatorsensor,7.541179656982422,1
283,1582126804.891206,10.6.0.1,pump1sensor,216.9189453125,1
284,1582126804.940172,10.7.0.4,chlorinetanksensor,7.955074310302734,1
285,1582126804.950328,10.7.0.4,chlorinepumpsensor,213.84596824645996,1
286,1582126805.081794,10.6.0.2,valve2sensor,8.031845092773438,1
287,1582126805.288784,10.6.0.1,reservoirsensor,8.118867874145508,1
288,1582126805.29554,10.6.0.2,pump2sensor,7.441043853759766,1
289,1582126805.305781,10.7.0.3,pump3sensor,8.752107620239258,1
290,1582126805.323143,10.7.0.3,municipaltanksensor,6.842136383056641,1
291,1582126805.517879,10.7.0.3,valve3sensor,8.01992416381836,1
292,1582126805.52661,10.7.0.4,chlorinevalvesensor,212.8739356994629,1
293,1582126805.543732,10.7.0.4,chlorinatorsensor,7.526159286499023,1
294,1582126805.706903,10.6.0.1,valve1sensor,216.45879745483398,1
295,1582126805.901506,10.6.0.1,pump1sensor,8.630037307739258,1
296,1582126805.94928,10.7.0.4,chlorinetanksensor,7.495880126953125,1
297,1582126805.958903,10.7.0.4,chlorinepumpsensor,7.388830184936523,1
298,1582126806.091398,10.6.0.2,valve2sensor,8.353948593139648,1
299,1582126806.302791,10.6.0.1,reservoirsensor,12.347936630249023,1
300,1582126806.316237,10.7.0.3,pump3sensor,9.209871292114258,1
301,1582126806.334498,10.7.0.3,municipaltanksensor,9.786844253540039,1
302,1582126806.522776,10.6.0.2,pump2sensor,225.96192359924316,1
303,1582126806.532341,10.7.0.3,valve3sensor,13.194799423217773,1
304,1582126806.541922,10.7.0.4,chlorinevalvesensor,14.053106307983398,1
305,1582126806.555536,10.7.0.4,chlorinatorsensor,10.539054870605469,1
306,1582126806.720982,10.6.0.1,valve1sensor,12.477874755859375,1
307,1582126806.915495,10.6.0.1,pump1sensor,12.330055236816406,1
308,1582126806.963232,10.7.0.4,chlorinetanksensor,12.547969818115234,1
309,1582126806.96974,10.7.0.4,chlorinepumpsensor,9.630203247070312,1
310,1582126807.103416,10.6.0.2,valve2sensor,10.369062423706055,1
311,1582126807.312814,10.6.0.1,reservoirsensor,8.50987434387207,1
312,1582126807.326394,10.7.0.3,pump3sensor,8.822917938232422,1
313,1582126807.343468,10.7.0.3,municipaltanksensor,7.7610015869140625,1
314,1582126807.532659,10.6.0.2,pump2sensor,8.250951766967773,1
315,1582126807.541718,10.7.0.3,valve3sensor,8.14199447631836,1
316,1582126807.549676,10.7.0.4,chlorinevalvesensor,6.603002548217773,1
317,1582126807.561976,10.7.0.4,chlorinatorsensor,5.285024642944336,1
318,1582126807.731138,10.6.0.1,valve1sensor,8.530855178833008,1
319,1582126807.924841,10.6.0.1,pump1sensor,8.10098648071289,1
320,1582126807.972175,10.7.0.4,chlorinetanksensor,7.313966751098633,1
321,1582126807.978821,10.7.0.4,chlorinepumpsensor,7.889032363891602,1
322,1582126808.1129,10.6.0.2,valve2sensor,7.853984832763672,1
323,1582126808.324892,10.6.0.1,reservoirsensor,10.431051254272461,1
324,1582126808.338457,10.7.0.3,pump3sensor,10.246992111206055,1
325,1582126808.352872,10.7.0.3,municipaltanksensor,7.498025894165039,1
326,1582126808.542701,10.6.0.2,pump2sensor,8.411884307861328,1
327,1582126808.549862,10.7.0.3,valve3sensor,6.882190704345703,1
328,1582126808.558961,10.7.0.4,chlorinevalvesensor,8.13603401184082,1
329,1582126808.740361,10.6.0.1,valve1sensor,7.63392448425293,1
330,1582126808.77494,10.7.0.4,chlorinatorsensor,211.80200576782227,1
331,1582126808.935785,10.6.0.1,pump1sensor,9.305000305175781,1
332,1582126808.981624,10.7.0.4,chlorinetanksensor,7.831096649169922,1
333,1582126808.988331,10.7.0.4,chlorinepumpsensor,8.257150650024414,1
334,1582126809.122933,10.6.0.2,valve2sensor,9.165048599243164,1
335,1582126809.334413,10.6.0.1,reservoirsensor,7.890939712524414,1
336,1582126809.346801,10.7.0.3,pump3sensor,7.145881652832031,1
337,1582126809.362233,10.7.0.3,municipaltanksensor,8.519172668457031,1
338,1582126809.552294,10.6.0.2,pump2sensor,7.982015609741211,1
339,1582126809.560651,10.7.0.3,valve3sensor,9.531021118164062,1
340,1582126809.56881,10.7.0.4,chlorinevalvesensor,8.655071258544922,1
341,1582126809.752733,10.6.0.1,valve1sensor,10.75887680053711,1
342,1582126809.783071,10.7.0.4,chlorinatorsensor,6.931066513061523,1
343,1582126809.945407,10.6.0.1,pump1sensor,7.99107551574707,1
344,1582126809.998298,10.7.0.4,chlorinepumpsensor,8.786916732788086,1
345,1582126810.133726,10.6.0.2,valve2sensor,9.164094924926758,1
346,1582126810.198348,10.7.0.4,chlorinetanksensor,215.53397178649902,1
347,1582126810.344382,10.6.0.1,reservoirsensor,8.328914642333984,1
348,1582126810.356645,10.7.0.3,pump3sensor,8.594989776611328,1
349,1582126810.370148,10.7.0.3,municipaltanksensor,6.72602653503418,1
350,1582126810.56271,10.6.0.2,pump2sensor,8.80885124206543,1
351,1582126810.571733,10.7.0.3,valve3sensor,9.427070617675781,1
352,1582126810.577663,10.7.0.4,chlorinevalvesensor,7.678031921386719,1
353,1582126810.763222,10.6.0.1,valve1sensor,8.894920349121094,1
354,1582126810.792872,10.7.0.4,chlorinatorsensor,8.199214935302734,1
355,1582126810.955264,10.6.0.1,pump1sensor,8.517026901245117,1
356,1582126811.008379,10.7.0.4,chlorinepumpsensor,8.854150772094727,1
357,1582126811.144834,10.6.0.2,valve2sensor,9.489059448242188,1
358,1582126811.212823,10.7.0.4,chlorinetanksensor,12.280941009521484,1
359,1582126811.354641,10.6.0.1,reservoirsensor,8.650064468383789,1
360,1582126811.364872,10.7.0.3,pump3sensor,7.486820220947266,1
361,1582126811.378612,10.7.0.3,municipaltanksensor,7.298946380615234,1
362,1582126811.57349,10.6.0.2,pump2sensor,9.130001068115234,1
363,1582126811.583698,10.7.0.3,valve3sensor,10.671854019165039,1
364,1582126811.585819,10.7.0.4,chlorinevalvesensor,6.979942321777344,1
365,1582126811.773452,10.6.0.1,valve1sensor,8.599996566772461,1
366,1582126811.801374,10.7.0.4,chlorinatorsensor,7.605075836181641,1
367,1582126811.964714,10.6.0.1,pump1sensor,7.788896560668945,1
368,1582126812.016481,10.7.0.4,chlorinepumpsensor,7.0819854736328125,1
369,1582126812.154932,10.6.0.2,valve2sensor,8.463144302368164,1
370,1582126812.224472,10.7.0.4,chlorinetanksensor,10.396003723144531,1
371,1582126812.365491,10.6.0.1,reservoirsensor,8.903980255126953,1
372,1582126812.375796,10.7.0.3,pump3sensor,9.334087371826172,1
373,1582126812.387175,10.7.0.3,municipaltanksensor,8.085966110229492,1
374,1582126812.583951,10.6.0.2,pump2sensor,8.846044540405273,1
375,1582126812.596228,10.7.0.3,valve3sensor,11.341094970703125,1
376,1582126812.596597,10.7.0.4,chlorinevalvesensor,9.568929672241211,1
377,1582126812.784764,10.6.0.1,valve1sensor,9.671926498413086,1
378,1582126812.81231,10.7.0.4,chlorinatorsensor,9.736776351928711,1
379,1582126812.975495,10.6.0.1,pump1sensor,10.057926177978516,1
380,1582126813.025356,10.7.0.4,chlorinepumpsensor,7.998943328857422,1
381,1582126813.164885,10.6.0.2,valve2sensor,8.306026458740234,1
382,1582126813.374614,10.6.0.1,reservoirsensor,7.889986038208008,1
